transaction_type,amount,starting_balance,ending_balance,destination_account,is_fraudulent
CASH_OUT,2167.5458884147088,60037.04098719782,57869.49509878311,7405629,0
PAYMENT,2697.6925268942614,71737.26979443672,74434.96232133098,,1
PAYMENT,0.0,15670.048457122677,15670.048457122677,,1
CASH_OUT,3381.238357834492,39563.38917023703,36182.15081240254,1774696,0
CASH_OUT,6913.4063727713165,31776.59879950311,24863.192426731795,4068127,0
CASH_OUT,6033.893031496742,74492.7746243035,68458.88159280676,6257595,0
CASH_OUT,4556.973474095752,42330.439621522266,37773.466147426516,8768031,0
CASH_OUT,4955.399432563894,66908.1311356411,61952.73170307721,5744489,0
PAYMENT,3622.228914849189,60717.13884977276,64339.36776462195,,0
CASH_OUT,5409.517764803569,32753.86127672638,27344.343511922812,2202346,0
CASH_IN,6531.7565589612295,38260.83580047431,44792.59235943554,,0
DEBIT,1768.2264251790543,75876.35381629452,74108.12739111547,,0
CASH_OUT,5599.2953756746965,34490.347026311734,28891.051650637037,1027442,0
CASH_OUT,6864.869741909335,52497.35220390958,45632.48246200024,9546376,0
PAYMENT,4169.799422073261,34349.1742734711,38518.97369554436,,0
CASH_OUT,6401.401224241167,43720.95626168279,37319.55503744162,3185551,0
CASH_OUT,10629.308888945106,49076.76112060056,38447.45223165545,6591053,0
CASH_OUT,4791.314414026217,34342.669794050176,29551.35538002396,6275399,0
PAYMENT,5786.614100010647,30791.06092032237,36577.675020333016,,0
CASH_OUT,3523.885832677217,55725.46673554885,52201.58090287163,5355121,0
DEBIT,5362.502325204101,33105.25182417648,27742.74949897238,,0
PAYMENT,5920.543249964608,33786.84888602655,39707.392135991155,,0
DEBIT,5389.6846805402765,31218.937125960587,25829.25244542031,,0
PAYMENT,2960.6093605822866,48441.83907337363,51402.44843395592,,0
CASH_OUT,5412.723542650901,68874.03268799682,63461.30914534592,6109732,0
DEBIT,7924.391877435273,80130.57272624533,72206.18084881005,,0
PAYMENT,5897.271529029054,35481.638280124425,41378.90980915348,,0
CASH_IN,6923.974378143682,93006.21586662423,99930.19024476792,,0
CASH_OUT,4525.976059974744,29905.902785864084,25379.926725889338,1235374,0
PAYMENT,6499.800478847421,71670.9704665574,78170.77094540482,,0
CASH_IN,5558.535676433052,35566.07091969115,41124.6065961242,,0
PAYMENT,3098.178540625536,32581.534602599793,35679.71314322533,,0
CASH_IN,5637.042009597749,35104.87686431223,40741.91887390998,,0
CASH_OUT,3016.6066731193787,48951.04600701762,45934.43933389824,4933403,0
DEBIT,3734.239450230416,61599.44342067221,57865.20397044179,,0
CASH_IN,5378.656614584748,63397.36075809644,68776.01737268119,,0
PAYMENT,5594.488546760248,31120.299693042234,36714.78823980248,,0
CASH_OUT,2621.535069845742,30206.814249774627,27585.279179928886,8080192,1
CASH_IN,7107.971542365753,31667.226132729058,38775.19767509481,,0
PAYMENT,6144.012556600946,47772.911952289774,53916.92450889072,,0
PAYMENT,3590.543128778232,45796.88791618251,49387.431044960744,,0
PAYMENT,1924.8304071016491,30996.4907586041,32921.32116570575,,0
CASH_IN,4710.190841837138,55392.073881264885,60102.264723102024,,0
CASH_IN,4108.11257227768,95251.37616670637,99359.48873898404,,0
CASH_IN,5226.280914106045,39905.690763296974,45131.97167740302,,0
DEBIT,4273.766677688867,41329.76357592933,37055.99689824047,,0
CASH_IN,985.0862785099803,61193.23140648737,62178.31768499735,,0
CASH_IN,4223.306123397683,38823.6741652641,43046.98028866178,,1
CASH_IN,4388.761777863374,63379.289634363646,67768.05141222703,,0
DEBIT,6267.322049548117,35629.145864419195,29361.823814871077,,0
CASH_IN,3603.6006507779007,86642.39215154602,90245.99280232392,,0
PAYMENT,8357.349346745132,56895.49945184589,65252.848798591025,,0
CASH_IN,1176.7188986964857,37599.54101846577,38776.25991716225,,0
PAYMENT,7622.334995605249,38226.16601061452,45848.50100621977,,0
PAYMENT,4551.362058243791,39724.004945839304,44275.36700408309,,0
PAYMENT,6719.169744687112,77454.99332497746,84174.16306966457,,0
DEBIT,5159.602968117466,24624.979847974333,19465.376879856867,,0
DEBIT,7279.111072050939,36641.16659080991,29362.05551875897,,0
DEBIT,4225.276070894378,38766.78886149148,34541.5127905971,,0
CASH_IN,2802.7591496443756,49686.24066486124,52488.999814505616,,0
PAYMENT,7841.008574542126,44577.80614706411,52418.814721606235,,0
DEBIT,4773.038708235717,20175.443372190744,15402.404663955027,,0
DEBIT,5443.116947248422,42003.54632809065,36560.42938084222,,0
CASH_IN,7469.50382808959,48008.98633630063,55478.49016439022,,0
DEBIT,2936.0895158111302,37438.04329840433,34501.9537825932,,0
CASH_IN,6190.981795278514,63735.509780953296,69926.49157623181,,0
CASH_OUT,3820.2104870742182,68388.16857507294,64567.95808799872,5320795,0
DEBIT,4735.661288711256,48432.266005412144,43696.60471670089,,0
CASH_OUT,5144.5579307685775,54610.83173701459,49466.27380624601,1220179,1
CASH_IN,1999.5562771061277,6778.880053014582,8778.436330120709,,0
PAYMENT,3442.3259143591304,41577.94455676337,45020.270471122494,,0
DEBIT,7702.145784826278,70096.43383515826,62394.288050331976,,0
CASH_IN,6772.382377169592,41531.26833641445,48303.65071358404,,0
PAYMENT,4874.7208453455305,35254.76647216078,40129.48731750631,,1
PAYMENT,5486.246917025786,95553.77852061862,101040.0254376444,,0
CASH_OUT,4411.5149887270845,86381.54380391611,81970.02881518903,8865105,0
CASH_IN,7713.166771655964,59351.49824964314,67064.66502129911,,0
PAYMENT,4599.294844411672,72778.21222960095,77377.50707401262,,0
DEBIT,5463.684184269696,5481.291640838448,17.60745656875224,,0
DEBIT,7292.06028828413,34248.97118742587,26956.91089914174,,0
CASH_OUT,3445.2570303081866,40600.84253653697,37155.58550622878,6778724,0
PAYMENT,8117.578368993788,45280.39802266107,53397.97639165486,,0
CASH_IN,1939.0771805132463,40201.11958052075,42140.196761034,,0
DEBIT,8259.284262225598,0.0,-8259.284262225598,,0
PAYMENT,4254.648832096051,57720.4923741712,61975.141206267246,,0
PAYMENT,4514.6025043494365,60873.08256561214,65387.685069961575,,0
CASH_OUT,1219.9796576341141,82037.97583179963,80817.99617416551,2611180,0
DEBIT,4090.410565244614,34233.814704500735,30143.40413925612,,0
DEBIT,2920.3869379462317,32596.736844401956,29676.349906455725,,0
CASH_IN,3784.7073092530545,0.0,3784.7073092530545,,0
DEBIT,4725.378068422241,44128.663268182274,39403.28519976003,,0
CASH_IN,6915.583228945811,68022.23562124342,74937.81885018923,,0
DEBIT,5415.206702801252,37764.642756145615,32349.43605334436,,1
CASH_OUT,5615.353306802228,92868.89637087297,87253.54306407075,5443090,0
DEBIT,2808.961222308875,44868.10328420953,42059.14206190065,,0
CASH_IN,3238.4918207945398,52939.84568577111,56178.33750656565,,0
CASH_IN,8597.450036702623,22737.938388368126,31335.38842507075,,0
CASH_OUT,3529.5979304735065,55744.40690350559,52214.80897303208,5124361,1
DEBIT,8312.416504114592,10413.604102946098,2101.187598831506,,0
DEBIT,4513.877602238267,63873.9591002629,59360.081498024636,,0
CASH_OUT,5004.575872287008,64488.56352470825,59483.98765242124,8679045,0
DEBIT,7140.730320459859,77185.8284867302,70045.09816627034,,1
DEBIT,7543.784843877313,29600.625624646225,22056.840780768915,,0
CASH_IN,4778.374879441825,53211.24236594838,57989.61724539021,,0
DEBIT,4223.513892956922,61276.33118773008,57052.81729477316,,0
DEBIT,4888.159102955574,58845.6327666062,53957.47366365063,,0
CASH_OUT,5675.915056464237,32694.014497302975,27018.099440838738,9362361,1
CASH_OUT,6782.607373739511,2160.3622088771954,-4622.2451648623155,9555558,0
PAYMENT,5008.459717988303,56939.20593768962,61947.66565567793,,0
CASH_IN,6237.772596046308,46950.00643380161,53187.779029847916,,0
DEBIT,8276.719464541882,38666.58814077119,30389.86867622931,,0
DEBIT,5762.61922452957,65278.90727430933,59516.28804977976,,0
PAYMENT,5623.305712009556,49101.60923691134,54724.914948920894,,0
DEBIT,1962.1783498198643,23616.098944644014,21653.92059482415,,0
CASH_IN,0.0,11370.954218075567,11370.954218075567,,0
PAYMENT,5776.751458460337,27420.73469733669,33197.48615579703,,0
CASH_IN,4810.351537438256,97860.24589533574,102670.597432774,,0
PAYMENT,3970.434650170516,64455.53547865546,68425.97012882598,,0
PAYMENT,5487.060408372689,53772.246839500236,59259.30724787292,,0
CASH_OUT,4879.192541606183,46366.781456283905,41487.58891467772,7481584,0
CASH_IN,7255.560501267797,45052.14120105129,52307.701702319086,,0
DEBIT,5172.221736517956,73343.9196671819,68171.69793066394,,1
DEBIT,3506.153429859665,40188.08516193137,36681.9317320717,,0
CASH_IN,6980.332477918578,61538.408213685856,68518.74069160443,,0
DEBIT,4565.737850107595,43031.44099416812,38465.70314406053,,0
DEBIT,6053.073367344614,88803.13263670125,82750.05926935664,,0
CASH_IN,4045.178587614399,64845.770151566074,68890.94873918047,,0
PAYMENT,3700.3462290051275,74911.13629367252,78611.48252267764,,0
CASH_IN,5168.336460371393,38311.804506235225,43480.14096660662,,0
PAYMENT,5025.657287087371,71162.72225134843,76188.3795384358,,0
DEBIT,5959.654070733666,43748.451492106185,37788.79742137252,,0
DEBIT,4462.7084933805145,52200.69647865699,47737.98798527647,,0
DEBIT,1327.2804324592053,82700.95341238916,81373.67297992996,,0
CASH_OUT,4134.452232823222,29144.498864871617,25010.046632048394,8040561,0
PAYMENT,6587.636934287631,54064.95462610801,60652.59156039564,,0
CASH_OUT,4405.247841513787,58760.10517037453,54354.857328860744,8546009,0
CASH_OUT,4507.233194970904,60400.0876160162,55892.8544210453,1091006,0
CASH_IN,6972.753011811874,40984.31013813069,47957.063149942565,,0
CASH_OUT,3576.0535454821547,91725.28201616163,88149.22847067947,2967409,0
CASH_IN,1914.3935635142007,24101.362293194794,26015.755856708995,,0
CASH_IN,4678.737760949011,79177.70777264939,83856.4455335984,,0
CASH_OUT,4031.652097502526,74301.31211183277,70269.66001433025,2984914,0
PAYMENT,3067.507360493492,88017.77579207369,91085.28315256718,,0
PAYMENT,4649.243088202618,18235.458025843596,22884.701114046213,,0
PAYMENT,5983.011294493567,32623.370242205794,38606.38153669936,,0
PAYMENT,4981.422876864369,79838.86118323282,84820.28406009718,,0
PAYMENT,5613.962145372476,12459.21690739382,18073.179052766296,,0
CASH_OUT,8626.815397030847,17870.821979191725,9244.006582160879,2353144,1
CASH_OUT,4314.242276884872,40233.84426577017,35919.6019888853,9317072,0
DEBIT,5556.69726928934,53839.87577244535,48283.178503156014,,0
PAYMENT,3981.573274801731,81844.5014729755,85826.07474777724,,0
CASH_OUT,3307.280560226054,46294.68170139284,42987.40114116678,6421198,0
DEBIT,3830.1846931644604,37835.21703870921,34005.03234554475,,0
PAYMENT,4042.482856956623,56227.798753928546,60270.28161088517,,0
CASH_IN,5718.951595094251,59391.92966588802,65110.88126098227,,0
DEBIT,9698.151573401516,58824.79644340542,49126.6448700039,,0
CASH_OUT,3567.9131274483193,46440.275840973096,42872.36271352477,4491821,0
CASH_IN,4166.749388769075,10898.277721637009,15065.027110406085,,0
CASH_IN,4873.753973777503,31647.680217873356,36521.43419165086,,0
CASH_IN,5791.597697419495,78405.42170534925,84197.01940276874,,0
DEBIT,5527.10162390957,53741.378759531995,48214.277135622426,,1
CASH_OUT,7568.1915878962345,43549.55761785887,35981.366029962635,6251179,1
CASH_IN,147.2158589295832,72363.3709674795,72510.58682640908,,0
PAYMENT,226.14025960865456,27397.667352621032,27623.807612229688,,0
CASH_IN,4008.2436559797015,45493.037325739846,49501.280981719545,,0
CASH_IN,7194.600375087417,52755.16810348075,59949.76847856816,,0
DEBIT,1868.7039367888074,41172.44993410742,39303.74599731861,,0
DEBIT,0.0,52015.256458031974,52015.256458031974,,0
CASH_OUT,6142.358812438417,46246.121371564695,40103.76255912628,5391324,0
PAYMENT,5487.314447405429,22013.1390442825,27500.453491687927,,0
DEBIT,2819.5831864011407,53629.55763758112,50809.97445117998,,0
CASH_IN,3028.92079855814,23432.96416974265,26461.88496830079,,0
CASH_OUT,3060.512560730651,53312.30250193444,50251.789941203795,1862213,0
CASH_IN,5221.0706349478805,77482.71648300218,82703.78711795007,,0
CASH_IN,3747.369447633986,44379.536054478915,48126.9055021129,,0
DEBIT,5988.1278379510395,26570.337400580276,20582.209562629236,,0
CASH_OUT,0.0,47460.24373590039,47460.24373590039,3654263,0
PAYMENT,3286.2962697444013,33360.57783842937,36646.874108173775,,0
PAYMENT,2747.8920781778993,61890.180052629396,64638.0721308073,,0
DEBIT,4487.318643255016,47040.225049542925,42552.90640628791,,0
DEBIT,3923.9044830197226,84195.26503329146,80271.36055027174,,0
CASH_OUT,6595.687559791533,73259.79191354677,66664.10435375523,1280522,0
PAYMENT,1281.3264566798848,46938.389910371945,48219.71636705183,,0
PAYMENT,5090.982952661504,64312.181359461814,69403.16431212332,,0
PAYMENT,6116.672846423411,42135.271816743094,48251.944663166505,,0
CASH_IN,8713.294873123908,50679.137703303364,59392.43257642727,,0
PAYMENT,4036.4680578130497,42771.31607299375,46807.7841308068,,0
CASH_IN,5648.917208705034,65329.11919699417,70978.03640569921,,0
CASH_OUT,1392.27441487527,78659.76553419157,77267.4911193163,4507677,0
CASH_IN,216.08759137395282,65972.96414382287,66189.05173519683,,0
CASH_OUT,6689.5487515633995,68438.73202570711,61749.18327414371,5395048,0
PAYMENT,4988.879412703859,68460.66874471458,73449.54815741844,,0
PAYMENT,7357.025379596846,61025.1184466942,68382.14382629105,,0
CASH_OUT,2253.1942220605015,27214.27681579464,24961.08259373414,5306555,0
DEBIT,6039.8042790575055,84019.43038832999,77979.62610927247,,0
CASH_OUT,8737.635681087706,86088.21653396849,77350.58085288078,5719339,0
DEBIT,5839.411216714532,45322.40793373263,39482.996717018104,,0
CASH_IN,5553.163011182098,42586.041695676366,48139.204706858465,,0
CASH_IN,5017.1121616487,62248.2330583075,67265.3452199562,,0
CASH_IN,1858.2370857481756,61016.2567036701,62874.49378941827,,0
PAYMENT,7711.1458714206965,45961.078624939626,53672.22449636032,,0
CASH_IN,3778.284720389868,24999.486888247917,28777.771608637784,,0
DEBIT,6008.966512766034,56114.02381499554,50105.05730222951,,0
CASH_IN,1873.9313868574927,61028.7307635109,62902.66215036839,,0
CASH_OUT,2641.080670984439,64516.42296077595,61875.34228979151,2763698,0
CASH_OUT,7870.174798444471,56985.85544708415,49115.680648639674,7972760,0
PAYMENT,4305.395422084314,44577.69703276181,48883.092454846126,,0
CASH_OUT,7906.550952085089,69880.04079012557,61973.48983804048,3985212,0
DEBIT,4843.538681882965,51316.969951318366,46473.4312694354,,1
CASH_IN,1316.2044540842853,40701.53971270559,42017.744166789875,,0
PAYMENT,6784.135199463441,46386.93235908558,53171.06755854902,,0
CASH_IN,3820.2153644887844,15080.619350500361,18900.834714989145,,0
CASH_IN,6397.377627034087,46355.163516429224,52752.54114346331,,0
DEBIT,5050.421735080165,63768.730397493375,58718.30866241321,,0
CASH_OUT,1913.7635441142593,56795.6604427846,54881.89689867034,5099878,0
CASH_OUT,5328.589530741138,80413.28345962372,75084.69392888258,6886189,0
CASH_IN,9392.446284305599,44740.50171968591,54132.94800399151,,0
PAYMENT,5985.972917028918,59746.26326106632,65732.23617809523,,0
CASH_OUT,4884.964493989074,65854.80352611544,60969.83903212637,7651657,0
PAYMENT,7150.686803913795,96857.14016574816,104007.82696966195,,0
CASH_OUT,5421.336930406222,52895.30982235281,47473.972891946585,3783279,0
PAYMENT,5419.068460525588,29116.256422719533,34535.32488324512,,0
DEBIT,2816.7496556817946,66958.57506710564,64141.82541142385,,0
PAYMENT,5467.696051579197,87314.54711936913,92782.24317094834,,0
DEBIT,7070.8868328338895,43549.02579546757,36478.13896263368,,0
DEBIT,3327.875695799951,66821.63077212832,63493.75507632837,,0
PAYMENT,7848.991642493895,74574.5611045784,82423.5527470723,,0
DEBIT,4816.587951709748,70341.31087940307,65524.72292769332,,0
CASH_IN,3224.4609769229187,52511.17044947156,55735.63142639448,,0
DEBIT,6995.264153840489,36030.52483573707,29035.260681896583,,0
CASH_OUT,4426.411528523461,48374.409039728285,43947.99751120483,3398186,0
PAYMENT,6519.029774972216,59172.00907755262,65691.03885252483,,0
CASH_IN,4416.482735482926,68164.45048183459,72580.93321731752,,0
PAYMENT,4880.347712940193,56678.90095998078,61559.24867292098,,0
CASH_OUT,5987.120408668583,42401.84066918846,36414.720260519876,3779736,0
CASH_OUT,5581.794115180011,61107.59312299537,55525.79900781536,3291472,0
CASH_OUT,1008.9364390965229,67201.7013548564,66192.76491575988,8976069,0
DEBIT,2757.5125198112164,57592.20112828961,54834.6886084784,,0
DEBIT,6858.819969581631,33276.2577092335,26417.43773965187,,0
PAYMENT,4735.726822196905,46371.8793056562,51107.606127853105,,0
PAYMENT,3952.5373944571566,68956.41552824933,72908.95292270649,,0
CASH_IN,2282.851969485051,22339.643825110525,24622.495794595576,,0
CASH_IN,2840.527357448303,8136.4395521768165,10976.96690962512,,0
PAYMENT,956.4027200761052,80161.65700288041,81118.05972295652,,1
DEBIT,4797.438562596934,60228.305100437596,55430.86653784066,,0
CASH_OUT,3803.1248388379063,62134.60005040213,58331.47521156422,6219780,0
PAYMENT,3066.8242180293696,28463.66052745888,31530.48474548825,,0
CASH_IN,4863.753149664094,64750.56126933076,69614.31441899485,,0
DEBIT,5727.941261705476,55504.97375136729,49777.03248966181,,0
PAYMENT,9186.39586441989,18313.448443032055,27499.844307451945,,0
PAYMENT,1976.2331608735726,78485.66828547715,80461.90144635072,,0
DEBIT,7318.762086601044,53173.66647237458,45854.90438577354,,0
PAYMENT,6946.203122030144,42078.320678414624,49024.52380044477,,0
DEBIT,3441.814521246599,42440.205080295644,38998.39055904905,,0
CASH_OUT,5406.471909172062,9695.561891352467,4289.089982180405,6157066,0
DEBIT,4084.7335013247693,61866.73199262727,57781.9984913025,,0
DEBIT,5371.377160837478,55237.144144914506,49865.766984077025,,0
DEBIT,8018.262026809101,46118.3973533381,38100.135326528994,,0
PAYMENT,6211.212465262626,75569.70414903344,81780.91661429606,,0
PAYMENT,6017.216746466884,22322.819620083086,28340.036366549968,,0
DEBIT,4139.381360090715,38064.550472647694,33925.16911255698,,0
PAYMENT,2031.8866701513298,32999.83490479228,35031.721574943615,,0
CASH_IN,4583.063578919184,44424.10040456894,49007.16398348812,,1
CASH_IN,7413.21630972783,51349.40050514446,58762.61681487229,,0
PAYMENT,1945.664286820705,58600.270476227095,60545.9347630478,,0
PAYMENT,2889.8212636466096,43060.53093789765,45950.352201544265,,0
DEBIT,5252.5354724681365,32452.885296902125,27200.349824433986,,0
CASH_OUT,3030.6904303054753,83720.13899540888,80689.4485651034,8140305,0
PAYMENT,3414.953105769575,98232.80383577137,101647.75694154094,,1
CASH_IN,4152.802836543646,52865.733437640505,57018.53627418415,,0
DEBIT,2268.765191619701,34864.392659582656,32595.627467962957,,0
PAYMENT,3051.7563075672633,79509.08262084587,82560.83892841314,,1
CASH_IN,6406.8558335746175,21064.857873430698,27471.713707005314,,0
CASH_IN,2385.2604355380718,43304.53350590345,45689.793941441516,,0
CASH_OUT,1804.2557310103248,36077.658973073965,34273.40324206364,7796031,0
DEBIT,3739.9500409322113,26809.288990990226,23069.338950058016,,0
DEBIT,6463.911005019691,44399.515341564605,37935.604336544915,,1
CASH_OUT,4606.156384006221,32716.558416520704,28110.40203251448,6008743,0
CASH_OUT,4070.8378437687634,50253.08928297309,46182.25143920432,1824982,0
DEBIT,5088.717595031214,50543.54335344928,45454.82575841806,,0
DEBIT,1508.585134280696,37573.36552956041,36064.78039527972,,0
PAYMENT,5989.4113075500645,42589.732868122606,48579.14417567267,,0
PAYMENT,5766.870062807288,45383.02064192579,51149.89070473308,,0
CASH_OUT,4181.383051808558,66196.92122238854,62015.53817057998,5417323,0
PAYMENT,7011.849023592833,47031.411978716285,54043.26100230912,,0
CASH_IN,2745.0078020939227,66494.03481572194,69239.04261781587,,0
PAYMENT,7255.817986507138,61716.25967109311,68972.07765760025,,0
PAYMENT,5308.987331190502,61430.61393801484,66739.60126920533,,0
CASH_IN,4326.894820243653,77756.91940691946,82083.81422716312,,0
CASH_OUT,4960.252729263377,27612.182405081803,22651.92967581843,5098474,0
CASH_IN,4785.4704683781165,40536.33787385773,45321.80834223585,,0
PAYMENT,7440.565792835434,85265.9760059914,92706.54179882683,,0
CASH_OUT,2846.641745057973,44853.66998821465,42007.028243156674,2920339,0
PAYMENT,3474.9615217068035,0.0,3474.9615217068035,,0
CASH_IN,7072.605784144959,45940.63313704229,53013.23892118725,,0
CASH_IN,3808.9301296322815,52698.790603265,56507.72073289728,,0
PAYMENT,6801.066154663184,0.0,6801.066154663184,,0
DEBIT,8398.87196601742,76678.71279775897,68279.84083174155,,0
DEBIT,4196.4099461167325,35725.75072268796,31529.34077657123,,0
CASH_IN,6362.724653150611,56571.26230375031,62933.98695690092,,0
CASH_IN,2692.615437320283,45480.36909311875,48172.98453043903,,0
DEBIT,6509.466596135619,24232.97161591917,17723.50501978355,,0
DEBIT,5398.847971973534,28589.8373072916,23190.989335318067,,0
PAYMENT,5946.07656432043,31298.34327144906,37244.41983576949,,0
PAYMENT,3708.85585592921,71713.43818367276,75422.29403960197,,0
DEBIT,1677.833168865655,47049.23623799696,45371.40306913131,,0
PAYMENT,6006.50412949901,39562.68966896507,45569.193798464075,,0
PAYMENT,873.1936950410909,31307.821748195376,32181.015443236465,,0
CASH_OUT,4365.29901551493,73923.00443052253,69557.7054150076,3041806,0
PAYMENT,6882.363732839939,79284.02545047174,86166.38918331168,,0
CASH_IN,5383.7954717460725,73694.87797413362,79078.67344587969,,0
